Ligne;Date;"Code boutique source";"Artisan source";Désignation;Quantité;"Prix unitaire";"Montant transcrit";"Montant retenu";Écart;Statut;Anomalies
38;13/07/2023;;;"Chocolat noir";1;1000;1000;1000;0;Importée;"Code de boutique absent | Artisan non identifiable"
39;14/07/2023;"N° 3";;"Nettoyage de visage";1;2000;2000;2000;0;Importée;"Artisan non identifiable"
40;14/07/2023;"N° 3";;"Nettoyage de visage";1;;;;;"Non importée";"Artisan non identifiable | Quantité, prix et montant trop lacunaires pour une vente"
44;17/07/2023;"N° 13";Rudeline;Collier;1;3000;3000;3000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Fideline » à 75,0 %"
47;17/07/2023;"N° 10";"Djoko Alex";"Sachet de verveine";1;2000;2000;2000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Djokalme » à 77,8 %"
48;18/07/2023;"N° 2";;"Miel naturel";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
50;21/07/2023;"N° 2";;"Chocolat noir";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
54;24/07/2023;"N° 3";"Mère de Natham";"Charbon noir";1;1000;1000;1000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Mère Nathan » à 80,0 %"
55;24/07/2023;"N° 3";;"Tisane min";1;2000;2000;2000;0;Importée;"Artisan non identifiable"
57;24/07/2023;5;Kuissi;"Charbon noir";1;1000;1000;1000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
59;25/07/2023;"N° 7";MEKO;Curcuma;1;2000;2000;2000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « MEKA » à 75,0 %"
60;26/07/2023;"N° 12";;"Miel naturel";1;2500;2500;2500;0;Importée;"Artisan non identifiable"
61;28/07/2023;"N° 3";Kuissi;"Serviette hygiénique";3;500;1500;1500;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
65;28/07/2023;"N° 7";;Bracelet;2;500;1000;1000;0;Importée;"Artisan non identifiable"
67;28/07/2023;"N° 3";Boniface;"Thé minceur";1;5000;5000;5000;0;Importée;"Date reprise de la ligne précédente"
69;18/07/2023;"N° 2";JONAS;"Liqueur café";1;7500;7500;7500;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « M. Jonas » à 83,3 %"
71;28/07/2023;15;Kuissi;Vinaigre;1;1000;1000;1000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
72;28/07/2023;;;;1;300;300;300;0;"Non importée";"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Désignation absente"
76;31/07/2023;13;;"Chapeau Ndop";2;8000;16000;16000;0;Importée;"Artisan non identifiable"
78;01/08/2023;05;Kuissi;Vinaigre;1;300;300;300;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
79;01/08/2023;02;;"Miel pur";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
80;01/08/2023;;"Mère Nathan";"Cure de diabète";1;2000;2000;2000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent"
82;02/08/2023;05;"Janvier Jean";"Huile d'avocat";1;2500;2500;2500;0;Importée;"Date reprise de la ligne précédente"
83;02/08/2023;;Kuissi;Miel;1;3500;3500;3500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
86;04/08/2023;;;"Miel naturel";1;2500;2500;2500;0;Importée;"Code de boutique absent | Artisan non identifiable"
89;07/08/2023;;;"Miel naturel";1;2500;2500;2500;0;Importée;"Code de boutique absent | Artisan non identifiable"
91;09/08/2023;23;;Whisky;1;5000;5000;5000;0;Importée;"Artisan non identifiable"
92;09/08/2023;23;;"Lait de soja";1;2000;2000;2000;0;Importée;"Artisan non identifiable"
93;11/08/2023;23;;"Fève de cacao";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
95;11/08/2023;5;Edwige;"Vin d'hibiscus";2;2500;3000;5000;-2000;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
96;11/08/2023;23;"Ns. Gabrielle";VIN;2;2500;3000;5000;-2000;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
97;11/08/2023;23;;Shoes;2;11000;22000;22000;0;Importée;"Artisan non identifiable"
100;24/08/2023;;;"Cure de diabète";1;2000;2000;2000;0;Importée;"Code de boutique absent | Artisan non identifiable"
102;28/08/2023;"MERE MF";FATIMATOU;"Suc a Mam";1;15000;5000;15000;-10000;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
103;29/08/2023;;DONTICK;Cure;1;2000;2000;2000;0;Importée;"Code de boutique absent"
104;29/08/2023;;"Sylvie / NGAN";"ANTI CANCER";;;;;;"Non importée";"Code de boutique absent | Quantité, prix et montant trop lacunaires pour une vente"
106;29/08/2023;;EVELYNE;"POUDRE DE CACAO";;;;;;"Non importée";"Code de boutique absent | Quantité, prix et montant trop lacunaires pour une vente"
113;30/08/2023;"N° 01";JONAS;"VIN DE CELEMIE";1;3000;3000;3000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « M. Jonas » à 83,3 %"
117;05/09/2023;"N° 1";;Chocala;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
119;06/09/2023;"N° 5";;Javel;1;350;350;350;0;Importée;"Artisan non identifiable"
122;08/09/2023;"N° 1";;Chocala;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
123;08/09/2023;"N° 5";Kuissy;Javel;1;350;350;350;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
124;08/09/2023;"N° 3";;"Farine de maïs";1;800;800;800;0;Importée;"Artisan non identifiable"
125;12/09/2023;"N° 3";;Vinaigre;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
126;21/09/2023;;;croquette;1;600;600;600;0;Importée;"Code de boutique absent | Artisan non identifiable"
127;23/09/2023;;;croquette;1;600;600;600;0;Importée;"Code de boutique absent | Artisan non identifiable"
128;25/09/2023;;;Vinaigre;8;2500;20000;20000;0;Importée;"Code de boutique absent | Artisan non identifiable"
130;13/09/2023;;Gabrielle;"Vin d'Hibiscus";1;3500;3500;3500;0;Importée;"Code de boutique absent"
131;13/09/2023;;;Whisky;1;2500;2500;2500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
134;14/09/2023;"N° 1";;"Miel naturel";1;2500;2500;2500;0;Importée;"Artisan non identifiable"
139;19/09/2023;"N° 11";"Pa mambou";Colire;1;10000;10000;10000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Mambou » à 80,0 %"
140;19/09/2023;12;"Mr Djoko";Chapeau;1;5000;5000;5000;0;Importée;"Date reprise de la ligne précédente"
141;12/09/2023;"N° 3";"sur la table";"fève de cacao";1;7500;7500;7500;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « fève sur la table » à 82,8 %"
142;12/09/2023;"N° 0";;"miel pur";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
143;21/09/2023;"N° 11";"Vin ole";"Vin cacao";1;2500;2500;2500;0;Importée;"Quantité déduite du montant et du prix"
144;21/09/2023;"N° 31";;"produit pjo";1;3000;3000;3000;0;Importée;"Date reprise de la ligne précédente | Artisan non identifiable | Quantité déduite du montant et du prix"
145;21/09/2023;;;NDOP;1;10000;10000;10000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Quantité déduite du montant et du prix"
146;21/09/2023;"N° 13";"NDOP (Gogo)";THÉ;1;2000;2000;2000;0;Importée;"Quantité déduite du montant et du prix"
147;21/09/2023;;Thé;Thé;1;9000;11000;9000;2000;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Quantité déduite du montant et du prix | Écart de calcul : montant transcrit différent de quantité × prix"
148;21/09/2023;"B N° 6";Mitchingou;Sac;1;1500;1000;1500;-500;Importée;"Date reprise de la ligne précédente | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
149;21/09/2023;"B N° 2";Biscuit;;;600;;;;"Non importée";"Date reprise de la ligne précédente | Désignation absente | Quantité, prix et montant trop lacunaires pour une vente"
150;21/09/2023;"B N° 3";"fève sur la table";;1;1000;;1000;;"Non importée";"Date reprise de la ligne précédente | Désignation absente | Montant déduit de la quantité et du prix"
151;21/09/2023;"B N° 2";"fève sur la table";;1;1000;;1000;;"Non importée";"Date reprise de la ligne précédente | Désignation absente | Montant déduit de la quantité et du prix"
152;21/09/2023;"N° 3";"Menthol / Evelyne";Menthol;2;1000;;2000;;Importée;"Date reprise de la ligne précédente | Montant déduit de la quantité et du prix"
153;21/09/2023;"N° 5";"Savon liquide";"Savon liquide";1;4000;4000;4000;0;Importée;"Date reprise de la ligne précédente"
154;21/09/2023;"N° 5";Kuissu;"Lave vitre";1;1300;1300;1300;0;Importée;"Date reprise de la ligne précédente"
155;21/09/2023;"N° 5";Kuissy;Javel;1;2500;2500;2500;0;Importée;"Date reprise de la ligne précédente | Rapprochement d'artisan écarté : sous le seuil : « Kuissu » à 83,3 %"
156;21/09/2023;"N° 3";;Pydjoun;1;3500;;3500;;Importée;"Date reprise de la ligne précédente | Artisan non identifiable | Montant déduit de la quantité et du prix"
157;21/09/2023;;Kuissu;Vinaigre;1;3500;;3500;;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Montant déduit de la quantité et du prix"
158;21/09/2023;;;Chapeau;1;4000;;4000;;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Montant déduit de la quantité et du prix"
159;21/09/2023;"B N° 13";;Biscuit;1;600;;600;;Importée;"Date reprise de la ligne précédente | Artisan non identifiable | Montant déduit de la quantité et du prix"
160;21/09/2023;;GAMI;Chocolat;3;1000;3000;3000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent"
161;21/09/2023;"B 1";NGANGA;fève;2;1500;3000;3000;0;Importée;"Date reprise de la ligne précédente"
164;08/11/2023;"N° 3";Evelyne;"Beurre de cacao";1;1000;;1000;;Importée;"Montant déduit de la quantité et du prix"
165;10/11/2023;12;;Chaussure;1;13000;13000;13000;0;Importée;"Artisan non identifiable"
171;18/11/2023;05;Kuissu;Croquette;4;500;500;2000;-1500;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
172;20/11/2023;05;;Croquette;1;10000;10000;10000;0;Importée;"Artisan non identifiable"
173;21/11/2023;03;Evelyne;"Fève de cacao";2;2000;20000;4000;16000;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
175;21/11/2023;;"GNOUNG / FÉLICITÉ";Whisky;1;5000;5000;5000;0;Importée;"Code de boutique absent"
177;27/11/2023;Donation;Sylvie;Chocolat;1;1000;1000;1000;0;Importée;"Prix unitaire déduit du montant et de la quantité"
180;27/11/2023;NNO;Charbon;Miel;2;3500;3850;7000;-3150;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
182;04/12/2023;;"NGOUNJOU / NGOUNJOU";"Chocolat / Chocolat";2;10000;20000;20000;0;Importée;"Code de boutique absent"
183;04/12/2023;;;Argile;1;7000;;7000;;Importée;"Code de boutique absent | Artisan non identifiable | Montant déduit de la quantité et du prix"
184;04/12/2023;;;Cafe-nez;7;1000;;7000;;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Montant déduit de la quantité et du prix"
185;04/12/2023;03;"Guessong / SONAT";"Vin / Yaourt";3;500;;1500;;Importée;"Date reprise de la ligne précédente | Montant déduit de la quantité et du prix"
186;04/12/2023;05;"Kuissu / Kuissu";"Cro / Vinaigre";1;2500;;2500;;Importée;"Date reprise de la ligne précédente | Montant déduit de la quantité et du prix"
187;04/12/2023;03;SONAT;YAOURT;1;3000;;3000;;Importée;"Date reprise de la ligne précédente | Montant déduit de la quantité et du prix"
188;04/12/2023;12;Fideline;"YAOURT / Serviette";2;500;560;1000;-440;Importée;"Date reprise de la ligne précédente | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
189;07/12/2023;NNO;;Jacquie;1;700;1000;700;300;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
190;07/12/2023;03;Evelyne;"Fève cacao";1;1500;1500;1500;0;Importée;"Date reprise de la ligne précédente"
192;09/12/2023;06;Mitchingou;;1;1000;1000;1000;0;"Non importée";"Date reprise de la ligne précédente | Désignation absente"
193;09/12/2023;;;;1;1000;1000;1000;0;"Non importée";"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Désignation absente"
196;12/12/2023;03;Evelyne;;1;1000;1000;1000;0;"Non importée";"Désignation absente"
197;17/11/2024;01;;vin;4;2500;10000;10000;0;Importée;"Artisan non identifiable"
198;14/11/2024;"5 / 13";;chapeau;1;4000;4000;4000;0;Importée;"Artisan non identifiable"
199;14/11/2024;"6 / 14";;chapeau;1;5000;5000;5000;0;Importée;"Artisan non identifiable"
200;14/11/2024;03;;"beurre de c.";1;2500;2500;2500;0;Importée;"Artisan non identifiable"
201;14/11/2024;03;;"fève d.";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
202;14/11/2024;;;"farine d.";2;2000;4000;4000;0;Importée;"Code de boutique absent | Artisan non identifiable"
203;14/11/2024;"N° 5";;croquette;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
204;14/11/2024;;;miel;1;2500;2500;2500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
205;15/02/2024;B3;;fève;2;1000;2000;2000;0;Importée;"Artisan non identifiable"
206;20/02/2024;"B. 5";;détergent;4;1000;4000;4000;0;Importée;"Artisan non identifiable"
207;20/02/2024;5;;caft-reg;3;200;500;600;-100;Importée;"Date reprise de la ligne précédente | Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
208;25/02/2024;"B N° 6";;chapeau;5;1000;5000;5000;0;Importée;"Artisan non identifiable"
209;25/02/2024;10;;vin;4;2500;10000;10000;0;Importée;"Date invalide dans le registre | Artisan non identifiable"
210;03/03/2024;9;;"clou de gi";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
211;05/03/2024;5;;Biscuit;3;500;1500;1500;0;Importée;"Artisan non identifiable"
212;08/03/2024;5;;croquette;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
213;12/03/2024;1;;vin;4;2500;10000;10000;0;Importée;"Artisan non identifiable"
214;13/03/2024;;;VIN;1;5000;5000;5000;0;Importée;"Code de boutique absent | Artisan non identifiable"
218;14/03/2024;1;vin;vin;2;8500;5000;17000;-12000;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
219;15/03/2024;3;"Liqueur + Mathe";vin;2;2500;2500;5000;-2500;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
220;15/03/2024;1;;lissari.;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
221;15/03/2024;5;;arnaise;17;300;300;5100;-4800;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
222;18/03/2024;1;;vin;1;5000;5000;5000;0;Importée;"Artisan non identifiable"
223;25/03/2024;11;;bracelet;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
224;25/03/2024;2;;charbon;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
225;26/03/2024;5;;"savon li.";1;7500;1500;7500;-6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
226;28/03/2024;5;;croquette;3;1500;4500;4500;0;Importée;"Artisan non identifiable"
227;28/03/2024;3;;yaourt;1;500;3000;500;2500;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
228;02/04/2024;3;;menthol;1;7000;1000;7000;-6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
229;05/04/2024;;;croquette;1;1500;1500;1500;0;Importée;"Code de boutique absent | Artisan non identifiable"
230;05/04/2024;1;;biscuit;1;500;500;500;0;Importée;"Artisan non identifiable"
231;08/04/2024;1;;vin;2;5000;10000;10000;0;Importée;"Artisan non identifiable"
232;08/04/2024;;;"lait de soja";1;1500;1500;1500;0;Importée;"Code de boutique absent | Artisan non identifiable"
233;08/04/2024;4;;miel;1;2500;2500;2500;0;Importée;"Artisan non identifiable"
234;08/04/2024;5;;"produit Boun";1;2000;2000;2000;0;Importée;"Artisan non identifiable"
235;11/04/2024;"20 / 5";;"farine de f";1;7500;1500;7500;-6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
236;11/04/2024;5;;feve;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
237;11/04/2024;4;;the;2;2000;4000;4000;0;Importée;"Artisan non identifiable"
238;11/04/2024;;;croquette;1;1500;1500;1500;0;Importée;"Code de boutique absent | Artisan non identifiable"
239;12/04/2024;;;"verse a le secretaire";;;;;;"Non importée";"Code de boutique absent | Artisan non identifiable | Quantité, prix et montant trop lacunaires pour une vente"
240;15/04/2024;5;;"11800 F";1;3000;3000;3000;0;Importée;"Artisan non identifiable | Quantité déduite du montant et du prix"
241;15/04/2024;5;;"huile de cheu";1;2000;2000;2000;0;Importée;"Artisan non identifiable | Quantité déduite du montant et du prix"
242;15/04/2024;3;;produit;1;500;500;500;0;Importée;"Artisan non identifiable | Quantité déduite du montant et du prix"
243;16/04/2024;1;;menthol;1;2500;2500;2500;0;Importée;"Artisan non identifiable | Quantité déduite du montant et du prix"
244;16/04/2024;1;;"vin meca";1;4500;;4500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
245;19/04/2024;3;;"aux CGOO";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
246;19/04/2024;5;;feve;1;2500;;2500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
247;21/04/2024;1;;"vin meca";1;1000;1000;1000;0;Importée;"Artisan non identifiable"
248;21/04/2024;1;;feve;2;5000;10000;10000;0;Importée;"Artisan non identifiable"
249;21/04/2024;1;;bai;1;17500;;17500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
250;24/04/2024;1;;VV.;1;3000;;3000;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
251;24/04/2024;1;;"vin d'oranj";1;3500;;3500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
252;24/04/2024;1;;"vin d'oignon";1;3500;;3500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
253;28/04/2024;1;;"vin de lemon";1;3500;;3500;;Importée;"Artisan non identifiable | Montant déduit de la quantité et du prix"
254;28/04/2024;8;;vin;1;7000;7000;7000;0;Importée;"Artisan non identifiable | Prix unitaire déduit du montant et de la quantité"
255;29/04/2024;1;;"liqueur d'ail";1;3500;3500;3500;0;Importée;"Artisan non identifiable | Prix unitaire déduit du montant et de la quantité"
256;07/05/2024;1;;piment;2;35250;70500;70500;0;Importée;"Artisan non identifiable | Prix unitaire déduit du montant et de la quantité"
257;31/05/2024;3;;"cuille en bois";1;3500;1500;3500;-2000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
258;06/05/2024;5;;biscuit;1;1500;7500;1500;6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
259;04/05/2024;3;;yaourt;1;500;500;500;0;Importée;"Artisan non identifiable"
260;07/05/2024;1;;"huile d'orange";1;2500;2500;2500;0;Importée;"Artisan non identifiable"
261;08/05/2024;3;;yaourt;2;1000;1000;2000;-1000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
262;08/05/2024;1;;biscuit;1;500;500;500;0;Importée;"Artisan non identifiable"
263;13/05/2024;3;;"vin fubiisant";1;3500;3500;3500;0;Importée;"Artisan non identifiable"
264;15/05/2024;3;;yaourt;2;7000;7000;14000;-7000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
265;16/05/2024;5;;curcuma;1;500;500;500;0;Importée;"Artisan non identifiable"
266;16/05/2024;3;;yaourt;2;1000;1000;2000;-1000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
267;17/05/2024;5;;vinaigre;3;900;900;2700;-1800;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
268;17/05/2024;6;;yaourt;4;2000;2000;8000;-6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
269;23/05/2024;5;;"eau de javel";1;650;650;650;0;Importée;"Artisan non identifiable"
270;23/05/2024;14;;croquette;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
271;23/05/2024;10;;plateau;2;6000;6000;12000;-6000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
272;23/05/2024;14;;"mot plateau";1;10000;10000;10000;0;Importée;"Artisan non identifiable"
273;24/05/2024;5;;"queue de deved";1;8000;8000;8000;0;Importée;"Artisan non identifiable"
274;28/05/2024;5;;gobelet;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
275;28/05/2024;10;;sac;1;8000;8000;8000;0;Importée;"Artisan non identifiable"
276;29/05/2024;10;;curcuma;1;500;500;500;0;Importée;"Artisan non identifiable"
277;29/05/2024;3;;"foulard dop";2;20000;20000;40000;-20000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
278;29/05/2024;6;;croquette;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
279;29/05/2024;5;;"savon liqui";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
280;29/05/2024;5;;croquette;1;1500;1500;1500;0;Importée;"Artisan non identifiable"
281;29/05/2024;3;;"statue jeu";2;20000;20000;40000;-20000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
282;03/06/2024;3;;"soupe couple";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
283;03/06/2024;14;;"porte clé";1;1500;1500;1500;0;Importée;"Artisan non identifiable"
284;03/06/2024;5;;feve;1;1000;1000;1000;0;Importée;"Artisan non identifiable"
285;04/06/2024;5;;"porte lic";1;3000;3000;3000;0;Importée;"Artisan non identifiable"
286;04/06/2024;3;;panier;4;2500;2500;10000;-7500;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
287;04/06/2024;14;;croquette;1;7500;7500;7500;0;Importée;"Artisan non identifiable"
288;04/06/2024;3;;yaourt;1;500;500;500;0;Importée;"Date reprise de la ligne précédente | Artisan non identifiable"
289;04/06/2024;;;miel;1;3000;3000;3000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
290;04/06/2024;;;"chapeau targ";1;1500;1500;1500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
291;04/06/2024;;;feve;1;1000;1000;1000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
292;04/06/2024;;;seson;1;500;500;500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
293;04/06/2024;;;croquette;1;1500;1500;1500;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
294;04/06/2024;;;"savon liquide";1;9000;9000;9000;0;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable"
295;04/06/2024;;;yaourt;2;1000;1000;2000;-1000;Importée;"Date reprise de la ligne précédente | Code de boutique absent | Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
296;04/06/2024;5;;croquette;2;1500;3000;3000;0;Importée;"Date reprise de la ligne précédente | Artisan non identifiable"
297;17/06/2024;3;;yaourt;2;10000;15000;20000;-5000;Importée;"Artisan non identifiable | Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix"
